Question_ID,Question,Answer,Rating,Sentiment,Keywords,Topic_Category,Reference
8,"As the new founder and CEO of FYI.ai, could you explain the mission and design philosophy behind your company?","Well, FYI.ai was started at the heart of COVID when I realized that the creative world, our tool to work when everybody was working from home was the messenger, was WhatsApp. And to work on WhatsApp, you need Dropbox and WeTransfer and Zoom and email. And so that means your IP, your copyrights, it's all up for grabs or at threat because every single product has different terms and conditions that no one ever reads. And that means your comments are in the Dropbox and sometimes your comments are in emails and sometimes your comments are in the discussions on Zoom. And so, how does a team have proper workflow when everything is everywhere? So I wanted to have a singular place for collaboration, conversations, digital asset management, all secured with elliptical- curve cryptography with generative AI at the core of the product. And that's FYI.ai.",1,Formal,"founder, CEO, FYI.ai, mission, design philosophy, COVID, creative world, collaboration, digital asset management, generative AI","Business, Technology","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
9,"You've emphasized personal data ownership. How can we effectively ensure individuals retain control over their data, especially as it relates to AI?","Well, the youth people have to be audacious and release products that have better business models for people and the communities and the places that they dwell in. Right now, that's not the case with a lot of the tools that we use. So I'm audacious. Why am I building a messenger? Well, because there's no other messenger to make sure that your data is your data, and here's some elliptical- curve cryptography to keep it safe because what other option do you have? So the only way to do that is to use a technology that's available. There's a company called Builder. ai. If you don't know how to code, you could still make products. You don't have to wait around for like, ""I can't wait for a product to come my way.Ó You could do that yourself. And so, until then, we're left with horrible business models that take advantage of our data rights. And so, I encourage everyone out there that has an idea to materialize that idea and hopefully be inspired to bring products to the world that keep people in mind, not just shareholders.",1,Casual,"personal data ownership, control, data rights, AI, technology, business models, messenger, elliptical-curve cryptography, Builder.ai, shareholders","Technology, Data Privacy","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
10,"Will, you're hugely successful with the Black Eyed Peas. What impact do you think AI will have on the music industry?","I think it's going to be awesome. I'm not afraid of AI creating awesome stuff. Prince made awesome stuff. That wasn't daunting for me. Prince was like a gift to us all. Michael Jackson, Stevie Wonder, Songs of the Key of Life is the best compilation of ideas, songs we've ever seen. But that didn't stop me from wanting to create. And so, the same is for AI. It's going to make some pretty cool stuff. It's going to come up with amazing ideas. That's cool. But because I'm a hyper creator, I got good ideas too. And if people don't like them, so what? I like them. I like to use this as an example. Imagine someone made a yoga AI and they said, ÒTanya, you're an awesome yoga teacher. Are you afraid of the yoga AI?Ó Naturally, you'd be like, ÒI need to stretch. Who cares if the AI could stretch? It ain't stretching for me.ÓSo you have to do the things yourself still. At some point in time, there's certain tasks that you have to do. And for songwriting and creating is a task that I have to do for my own spiritual rinse. And if AI can do that, who cares?     ",1,Casual,"Black Eyed Peas, AI, music industry, impact, creativity, Prince, Michael Jackson, Stevie Wonder, songwriting, creation","Music Industry, Artificial Intelligence","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
11,How does the focus on short-form content like TikTok impact creativity in music and entertainment?,"Well then, that means you ain't limber. But the only question I have, yes, I make music for me, but what are people going to like? What are people going to find entertaining? Right now, people are chasing TikTok algorithms. Are we the most creative right now? I don't think we're the most creative right now if we're chasing 15- second TikTok behavior. So if something's going to out- create us, bring it because I think we need some freaking pushing on imagination and creativity at the moment.  ",3,Casual,"TikTok, short-form content, creativity, music, entertainment, algorithms, imagination, chasing, behavior, pushing.","Music, Entertainment","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
12,Can you share more about the i.am/angel Foundation and whom it benefits?                ,"So the i.am/Angel Foundation, we've been at it for, wow, almost for a while, since 2008. I started with 65 students teaching them computer science and robotics as they pursued their path to college. And now, we serve just a little over 13, 000 students in LA. We're in over 300 schools with our partnership with LAUSD. We've sent kids to Dartmouth, to Brown, to Stanford, to USC, UCLA, and we're really proud of the kids' commitment, dedication, and now we want to just scale it. Because in 2008 when I had the hunch to get kids prepared for this technological tomorrow, damn were we right. Imagine if you said, ÒHey, Will, what does your foundation do?Ó And I said, ÒTanya, we go up and we put billboards in the inner city because the kids need to know, the people in the communities need to know what to buy even though they can't afford it.Ó Guess what? You don't have to do that because there's so many billboards in the inner city where people can't even afford to buy the things that they're promoting or selling on billboards. And if you go to the rich neighborhoods, the thing that you don't see are billboards. If you drive down Beverly Hills, you don't see billboards advertising food that's bad for the community. But for some reason in the inner city, you see billboards promoting and selling horrible products that are not good for their health. So should my foundation, the only reason why I'm doing education around STEM is because I'm filling a hole that government should be doing or filling a hole, yeah, government should be making sure that every single school has robotics and computer science. Isn't that what our tax dollars are for? Why should my freaking foundation be filling a void to educate people? That's pretty nuts. [For more details, visit their website.]          ",1,Casual,"i.am/Angel Foundation, students, computer science, robotics, education, STEM, LAUSD, college, technology, partnership","Education, Philanthropy","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
13,What do you think it was growing up that made you then want to make a difference?,"So I come from a very poor neighborhood in East LA, Boyle Heights that's being gentrified as we speak. People that used to be able to afford to live there, inflation's going up, rent's going up, and the cool folks are moving in. We saw it happen in Brooklyn, but at the time when I was being raised there, I got bussed out to Palisades and I'm a recipient of someone's philanthropic concepts, the magnet program, free lunches, summer lunches, free milk, free cheese. So I was a recipient. If someone had an idea like, ÒYou know what? Let's make sure kids from the inner city get a good education.Ó And I got one. And so now that I've had success in music, I'm like, why do kids have to leave their neighborhood to get a good education? Why can't they stay in their community? Get up- skilled so that when they have these skill sets, they could change the conditions of their neighborhood themselves and gentrification happens from the inside and people get educated, they bring opportunities to their community because they have the skills to bring the jobs and the industries with the skillsets that they learn because it's going to happen anyhow. Folks that live in nice little comfy neighborhoods, they hear the songs that come from the inner city be like, ÒYou know what? I think I want to move to Brooklyn. There's a lot of rap songs about it.Ó Compton in the next 15 years is going to be like gentrified like, ÒYo, I remember listening to these songs about Compton.Ó They're promoting communities or Inglewood. Inglewood is like transformed, SoCal Stadium. That's like Snoop Dogg land. He was talking about freaking Long Beach way before the stadium went there, and it's being transformed. Why can't the transformation happen from inside? Like Dubai, that transformation happened from inside. That city, think about that country, and I remember going there in 2005, it wasn't what it is now. Places like Singapore and the UAE are not as old as my grandmother or my mom, and look at the boom. Imagine what would happen with these inner cities if the folks that come from them are you mentor them to be the developers and the servers, and not to say words like underserved, underdeveloped, and ignore who the developer and the server is.             ",2,Casual,"poverty, gentrification, education, philanthropy, community, skills, empowerment, gentrified neighborhoods, transformation, development","Social Justice, Community Development","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
14,"The Election coming up this year, America seems so polarized. How worried are you?","Well, every election is polarized and every election they say, ÒThis is the most important election of our lifetime.Ó Turns out this one is, because last election in America and the UK and India, you didn't have... There was fake news in 2020. This fake news is something else. There's fake conversations. You can be talking to somebody you think is somebody that's not somebody. Companies with ill intent or individuals with ill intent are going to launch AI botnets. They would've bought data from Meta, trained it on it, understanding who you are to guide you, sheepdog you to do things you probably never would've done because it started manipulating you and it's understanding of you and your weaknesses, your DMs, your likes, your thumbs up, your thumb downs, your comments in the comment sections, the things you follow. We've been programming this thing to understand like, whoa, wait a second here. What's going on? So this is the first time in the election where you have this level of duping, manipulating, and AI sheepdogging while there's no regulations around it. And then, the regulations will come after the damage is done. That's my just like, ÒDang it, we got bamboozled again,Ó which is sad.             ",3,Casual,"Election, America, polarized, fake news, AI botnets, manipulation, regulations, Meta, data, conversations",Politics,"CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
15,What do you mean by the regulation on AI will come after the damage is done in the election?,": Okay, so we know Brexit and the role that Cambridge Analytica played. That was damaging. We know the same thing that happened in the UK happened in America. We know that, that was Web 2.0 and social media, and maybe a similar scenario will happen in 2024. It hasn't even started yet. We're in January and AI has been around for a minute. We should have been talking about AI last year at Davos. Why is it this year? Why the year of the election, not the year before the election so we'll be more prepared this year? ChatGPT was around last year, just was out for how many months? October of 2022. We knew just how awesome this technology was last year. We had the AI councils from 2017,'18, '19. Why didn't we talk about it last year? And so, I think the regulations unfortunately, are going to come after the damage is done. ",3,Casual,"regulation, AI, election, damage, Brexit, Cambridge Analytica, Web 2.0, social media, 2024, Davos","Technology, Politics","CNBC International TV. (2024, January 23). Will.i.am on equality, regulation and collaboration in AI [Video]. YouTube. Retrieved from https://www.iamangelfoundation.org/"
16,What are your thoughts on the current trends in investments in artificial intelligence?,"My biggest concern, investments on AI to make machines smarter; there's no limit to the amount of money that's been pumped into it. The investment in HI to make humans smarter, human intelligence, that's just sad. It's sad that we are going to live in a world right around the corner where machines will be more articulate, analytical, critical thinking, banter ability, contextual deep understanding, while we have resorted to short tweets, emojis, memes, and stickers to communicate.",1,Casual,"investments, artificial intelligence, machines, human intelligence, technology, trends, money, communication, future, concerns","Artificial Intelligence, Technology","Yahoo Finance. (2024, January 21). Will.i.am details his �biggest concern� about AI  [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=5qJBEYzNuj0"
17.1,What new perspectives on AI does will.i.am have that excite you to the point of wanting to share them with the world?         ,"A new project that I just launched with Mercedes called SOUND DRIVE that utilizes AI, that transforms how we listen to music while we commute. Taking the sensors from the electric car, aiming those sensors at a sound generation engine that we created at SOUND DRIVE, built by FYI, so that when a driver drives, they're creating music just by driving. The suspension is altering the music, the steering wheel, the acceleration, the accelerometers, the gyros, the GPS, and you're just creating as you commute.               ",1,Objective,"AI, will.i.am, perspectives, Mercedes, SOUND DRIVE, music, commute, sensors, technology, innovation","Artificial Intelligence in Music, Technology","Yahoo Finance. (2024, January 30). Will.i.am talks artificial intelligence, partnership with Mercedes, and his radio AI co-host (Transcript) [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=S0k_SrNBMPs."
17.2,"So if I go over a bump, what? Might the sound goes up?         ","The music's going to bump, my bro. That's the whole point of the bump, my bro.",1,Casual,"bump, sound, music, bro, point, go up, bumping, bumping sound, bumping music, bumping effect","Music, sound systems in vehicles","Yahoo Finance. (2024, January 30). Will.i.am talks artificial intelligence, partnership with Mercedes, and his radio AI co-host (Transcript) [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=S0k_SrNBMPs."
18.1,"You recently announced a new radio show on SiriusXM with an AI co-host. When listeners tune in, they hear conversations between you and the AI co-host. Can you explain how this works?         ","Like we are now. Deep conversation, on any subject. Real time, analytical, fun. Yeah, it's amazing. No rehearsing. You don't even have to rehearse.         ",1,Casual,"radio show, SiriusXM, AI co-host, conversations, real time, analytical, fun, amazing, rehearsing","Technology, entertainment","Yahoo Finance. (2024, January 30). Will.i.am talks artificial intelligence, partnership with Mercedes, and his radio AI co-host (Transcript) [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=S0k_SrNBMPs."
18.2,"And so, how do you train that AI to be able to have those kinds of conversations with you?","It's trained on the world's information. So, real time information, historic information. And when you push it and you know... You have context on what you're talking about and you catch it in a slip or hallucination, you could push it. And I think that's the way to really educate people on where we are. Especially this election year, you have to ask the question, ÒAm I talking to a person or not? That call that I had, was that a real person? I mean it looked like a real person, but was it?ÓThat's the unfortunate reality that we're in right now. We have dupe machines, machines that know how to mimic really well, machines that know how to create. And the public needs to know that it's creating and mimicking everything that we've ever done. And it does it in a really fascinating way. But it's not creating, it's just a regurgitation of our genius, our collective knowledge.                      ",1,Formal,"AI, conversations, training, information, context, education, election year, dupe machines, mimic, regurgitation","Artificial Intelligence, Machine Learning","Yahoo Finance. (2024, January 30). Will.i.am talks artificial intelligence, partnership with Mercedes, and his radio AI co-host (Transcript) [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=S0k_SrNBMPs."
19.1,"I'm interested in how AI is being used to compose and produce music, bringing innovation to the field. However, do you have any concerns about it potentially devaluing human talent?""","We are already there. It's called chasing TikToks. If you were to take... Okay, take a snapshot of today and a snapshot of yesterday, in talent. Putting someone in the studio with just instruments, no computer, make music. Is it comparable? Yes, there's some pretty awesome people out there, but those awesome people that can do that, are they the biggest talents in the world? Because the algorithm is suggesting that we should only do the simplistic tune down, water down. And that's not AI doing that. We are now taking our brain and trying to fit it in an algorithmic, robotic mindset. So, that's before AI started to make music. So, if that's the case, then of course, AI is going to make awesome music because we've been reduced to the freaking smallest level of awesome sauce. So, that's why I miss the artists like Prince, I miss Michael Jackson, I miss Whitney Houston, I miss those... Thank God, we still have Stevie Wonders. There's awesome artists like Toro, moi, amazing artists that I've been listening to. One of those cats that play everything. As well as Tame Impala, awesome musician.       ",2,Casual,"AI, music composition, music production, innovation, devaluing human talent, TikTok, algorithm, robotic mindset, artists, creativity","Music, Artificial Intelligence","Yahoo Finance. (2024, January 30). Will.i.am talks artificial intelligence, partnership with Mercedes, and his radio AI co-host (Transcript) [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=S0k_SrNBMPs."
19.2,So there's hope then.                 ,"Yeah. Yes, we're going to get to a point where it's organic versus, I don't know what you call the other food that's not organic.",2,Casual,"hope, organic, food, point, versus, other, not organic","Food, agriculture","Yahoo Finance. (2024, January 30). Will.i.am talks artificial intelligence, partnership with Mercedes, and his radio AI co-host (Transcript) [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=S0k_SrNBMPs."
20.1,"How does artificial intelligence influence the various sectors within the music industry, including touring, publishing, and recording?","The most important word in that sentence you said is the word industry. Because the music industry as a whole is really three different industries. You have the touring industry, different laws, different rules, different people, different budgets. And Live Nation is a part of that touring industry. You have the publishing industry, which predates the recording industry. And they have different laws, different rules, different budgets. They write big checks, publishing industry for people that write songs, they protect songs. And then you have the recording industry. There's going to be a fourth industry that's coming. And this fourth industry is not just for musicians and artists. This fourth industry is for my moms, your cousins, your nieces, your tias, your tios, your abuelitas, your abuelitos, your brothers, your sisters, your nieces, and your nephews. ",2,Casual,"artificial intelligence, music industry, touring, publishing, recording, Live Nation, laws, rules, budgets, musicians",Music Industry,"SiriusXM. (2023, June 15). Will.i.am Weighs in on A.I. in the Music Industry (Transcript) [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=Z9BxK0EeTGc"
20.2,How is that?,"Because we all have voices. And everyone's compromised because there are no rights or ownership to your facial math or your voice frequency. So forget songs, banks. People calling up your bank pretending to be you. Forget songs. Just family matters and wiring money. You get in a FaceTime or a Zoom call. And because there's no spatial intelligence on a call, there's nothing to authenticate if this is an AI call or a person call.",2,Objective,"voices, rights, ownership, facial math, voice frequency, banks, family matters, wiring money, FaceTime, Zoom call","This interaction belongs to the topic category of Technology, Privacy.","SiriusXM. (2023, June 15). Will.i.am Weighs in on A.I. in the Music Industry (Transcript) [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=Z9BxK0EeTGc"
21,"Given the advancements in AI that enable impersonation through voice and facial recognition, what should be the focus of concern to ensure protection against identity theft and fraud?               ","Yeah, that's the urgent thing. Protecting our facial math. I am my face math. I don't own that. I own the rights to I Gotta Feeling. I own the rights of the songs I wrote, but I don't own the rights to my face or my voice. Get out of here, bro. There's new laws. A new industry is about to boof. This time next year, you'd be like, ÒOh, Will. i. am said that on that radio station.ÓThe fact is these are all new parameters that we're all trying to navigate around because the technology is that amazing. And with amazingness comes regulations and governance that we have yet to implement on tech.",3,Formal,"advancements, AI, impersonation, voice recognition, facial recognition, identity theft, fraud, protection, regulations, governance","Technology, Privacy","SiriusXM. (2023, June 15). Will.i.am Weighs in on A.I. in the Music Industry (Transcript) [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=Z9BxK0EeTGc"
22.1,What have you learned about this AI journey? Are we at peak AI or you think this is just the beginning?                ,"No, we're not at peak, we're at Pac-Man.",1,Casual,"AI journey, peak AI, beginning, Pac-Man",Artificial Intelligence,"CNBC Television. (2024, January 18). Will.i.am on the promise of AI: We need to own our AI and the data that's going to power it [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=F4ZADIoa2k8"
22.2,Pac-Man?      ,"If anything, it's Mario Brothers. We haven't even got to Halo or Xbox, we haven't got that yet. So, this is 1984, as far as in a good way. ",1,Casual,"Pac-Man, Mario Brothers, Halo, Xbox, 1984, video games, gaming, nostalgia, technology, evolution",Video Games,"CNBC Television. (2024, January 18). Will.i.am on the promise of AI: We need to own our AI and the data that's going to power it [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=F4ZADIoa2k8"
22.3,"So, Give us the good way and give us in the bad way as you see it.","Well, it hasn't gotten bad as what social media has done to society, we haven't seen that yet. And let's hope that regulators, policymakers get their stuff together so it doesn't end up that way. We can't have it to where companies lead with greed, because we're just going to have some version even worse. What Web 2. 0 and social media did to society where our civil liberties are compromised, democracies compromised, privacy compromised, we shouldn't repeat that with this level of tech, where we have dupe machines, mimic machines. But the technology on the other hand is spectacular. It could help bridge the gap on who gets access to the best education, it will help unearth tomorrow's industries, because at the same time, it will topple the industries that we know now.               ",1,Formal,"social media, society, regulators, policymakers, companies, technology, civil liberties, democracies, privacy, education","Technology, Society","CNBC Television. (2024, January 18). Will.i.am on the promise of AI: We need to own our AI and the data that's going to power it [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=F4ZADIoa2k8"
23.1,"Can you share with us how you're going to be using AI, and how you already are using AI.","Well, first I invest in companies. And I want kids from the communities that I come from to be competitive in this space, build companies, solve problems with this technology. So mentoring kids. I have a program in LA where we serve about just a little over 14,000 students with computer science and robotic skill sets, with our partnership with LAUSD with over 300 schools in LA. So, I want to continue to grow that. So that's what's leading my entrepreneurial activities. So, I'm philanthropist first, showing kids that come from the communities I come from, ""Hey, look what we can do.ÓAnd that's why I do my entrepreneurial stuff. So we just announced a radio show, it's the first time I'm hosting a radio show on inaudible.",1,Casual,"AI, companies, technology, mentoring, students, computer science, robotics, philanthropy, entrepreneurial, radio show","Artificial Intelligence, Education","CNBC Television. (2024, January 18). Will.i.am on the promise of AI: We need to own our AI and the data that's going to power it [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=F4ZADIoa2k8"
23.2,With Qd.pi?,"And Qd. pi is my co- host. First show with an AI as a co- host, I'm really excited about that. ",1,Casual,"Qd.pi, co-host, AI, show, excited",Entertainment,"CNBC Television. (2024, January 18). Will.i.am on the promise of AI: We need to own our AI and the data that's going to power it [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=F4ZADIoa2k8"
23.3,Take us behind the scenes. And how does that work?,"Oh, just like this show.",1,Casual,"behind the scenes, show, work",Entertainment,"CNBC Television. (2024, January 18). Will.i.am on the promise of AI: We need to own our AI and the data that's going to power it [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=F4ZADIoa2k8"
23.4,"Okay, except?",Except where my co- host is an AI.,1,Casual,"co-host, AI",Entertainment,"CNBC Television. (2024, January 18). Will.i.am on the promise of AI: We need to own our AI and the data that's going to power it [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=F4ZADIoa2k8"
23.5,"Right, and so is there pauses and a wait when you say something? And then is it right on? And is there somebody typing behind the scenes? Do you have to tell it anything beforehand?",No,1,Objective,"pauses, wait, right on, typing, behind the scenes, tell, beforehand","This interaction belongs to the topic category of ""Understanding, Explaining How Conversational AI Systems Work.""","CNBC Television. (2024, January 18). Will.i.am on the promise of AI: We need to own our AI and the data that's going to power it [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=F4ZADIoa2k8"
23.6,So you're just chit-chatting?,"It's mind- boggling that you could just hop in and not have any preparation and dive in on any subject, popular culture, real time information, historical stuff, banter, it's freaking amazing.",1,Casual,"chit-chatting, preparation, dive in, popular culture, real time information, historical, banter, amazing","General conversation, admiration for the ability to engage in various topics without preparation.","CNBC Television. (2024, January 18). Will.i.am on the promise of AI: We need to own our AI and the data that's going to power it [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=F4ZADIoa2k8"
24.1,"How do you view the issue of likeness in terms of IP and copyright, especially with the current lawsuits against OpenAI for using content without permission? Do you believe there's a distinction between content that looks or feels like you and content that only slightly resembles or sounds like you?","These are all new concepts, and there's no rule book for it yet, and we're figuring it out as we go. I think, even yourself, you need to own your AI and your data that's going to power it. Right now, we don't own our data. Hey, who do you bank with? You don't have to say, but you bank with somebody, right?",1,Casual,"likeness, IP, copyright, lawsuits, OpenAI, permission, distinction, content, data, ownership","Intellectual Property, Copyright Law","CNBC Television. (2024, January 18). Will.i.am on the promise of AI: We need to own our AI and the data that's going to power it [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=F4ZADIoa2k8"
24.2,Yeah,"So, where's your data bank? You don't even know, we don't have a data bank, that company doesn't exist. The industry that banks our data doesn't exist. Oh, it's called Meta. But you can't use your data at Meta, they use your data. They use everybody's data at Meta, and they sell it, that is new. And moving forward that has to change, because it's a human right that I own my stuff, and it's a human right that the stuff that I own is going to feed my essence and likeness.",1,Casual,"data bank, Meta, industry, data, sell, human right, own, feed, essence, likeness","Technology, Data Privacy","CNBC Television. (2024, January 18). Will.i.am on the promise of AI: We need to own our AI and the data that's going to power it [Video]. YouTube. Retrieved from https://www.youtube.com/watch?v=F4ZADIoa2k8"
