text,label
"Where relevant, our Bank considers the social and environmental outcomes of the business decisions we make. As an example of these considerations, our Bank does not lend to projects in the coal and coal seam gas sectors, and we have taken a pragmatic approach that says it makes no sense to broaden our footprint by starting to do so.",1
"We understand that environmental and social issues may affect our activities and the revenue of our clients, causing delays in payments or default, especially in the case of significant environmental and social incidents. The way these risks may affect us becomes more evident where we finance projects in sectors with higher environmental and social impacts, such as mining, and large hydroelectric plants , which require comprehensive environmental and social due diligence as well as mitigating measures.",1
"We aim to achieve a decarbonized society through energy-saving activities including upgrading to energy-efficient equipment, the adoption of renewable energy and upgrading to next-generation energy. We will also pursue the development of products and services which will contribute to the creation of a decarbonized society.",1
"(and the company may not be able to offset such impact, including, for example, through higher freight rates). Climate change legislation and regulation could also affect CN’s customers; make it difficult for CN’s customers to produce products in a cost-competitive manner due to increased energy costs; and increase legal costs related to defending and resolving legal claims and other litigation related to climate change.",1
"By reducing energy consumption and GHG emissions, we are not only doing our part to help reduce GHG emissions to the atmosphere but are also helping to mitigate potential impacts from policy or regulatory actions that could put an increased price on carbon emissions. The actions we are taking include:",1
"With passion and integrity at the heart of everything we do, we aim to build a sustainable business that makes a positive difference for all, now and in the future.",0
"By 2025, we aim to achhieve carbon neutrality for our corporate and own-retail sites through implementing on-site energy production, improving energy use efficiency, sourcing renewable energy, and balancing our emissions through various partnership methods. We will also continue to monitor and improve the water efficiencies at our biggest consuming sites. We will further strengthen our sustainability foundation by increasing the environmental performance data coverage. Furthermore, we will continue to push implementing eco-efficiency standards through the IMS at key sites.",1
• Customers’ changing preference for environmental friendly product • Shareholders' inclination to invest in companies with sustainable commitment • Reallocation of capitals to cleaner and greener investments by financial institutions. • Significant investment into technologies and infrastructure to address climate change and to look beyond own operations • Increase in operational costs to meet regulatory requirements for GHG emissions and climate change,1
"Important steps that the DNP Group has taken leading to a Decarbonized society include reducing the consumption of forms of energy that generate CO2 (energy conservation), switching to low CO2- emission fuels and introducing renewable energy sources.",1
"Governance Links: The CEO and Chairman of the Board sits on the SLC and can bring relevant climate-related items to the Company’s Board of Directors and its Governance & Public Responsibility Committee, which has oversight of many of the Company’s Corporate Citizenship efforts, including climate.",1
"In 2017 follow-ups have been made to climate risk analyses for fossil energy companies and electrical power companies, which resulted in additional divestments from three fossil energy companies and four electrical power companies. One fossil energy company and three electrical power companies have been reintroduced to the Fund’s benchmark index, because they no longer meet AP2’s criteria for divesting companies in these sectors. In total, the Fund has divested from equities and corpo- rate bonds in 79 companies as a result of financial climate risks.",1
"In this report, we have presented relevant data from all the manufacturing subsidiaries within the Group in which we have more than 50% ownership. As we have operational control in these companies, we are able to guide them in terms of sustainability and ensure they adopt our approach in managing all material matters sustainably. This year, we have not included data from Da Vinci Group B.V. (DVG), as our acquisition was completed only in mid-September and we have yet to fully integrate our sustainability platforms. b PETRONAS CHEMICALS GROUP BERHAD",1
"In the second, third and fourth quarters of 2019, the Company closed a series of transitions related to the sale of its Canadian fossil fuel-based electricity generation business and Alberta PowerLine. These sales resulted in an aggregate gain of $174 million in 2019.",1
"We use annual general meetings as another way to monitor and engage with companies to reduce the risks from climate change, as well as to support climate change-related resolutions and work with other investors where appropriate.",1
*2 GHG: Greenhouse Gases Emissions from the use of electricity were recalculated to include past years using the coefficients for the fiscal years prior to the tabulated fiscal years. (Details are listed on page 21.) .,1
"We also look at the way banks facilitate financing by others, for example by arranging the issue of green bonds. For each of these categories we look at the bank’s current lending, historical trends and lending targets. There are also ‘no go projects’. We won’t invest in any bank which lends to an Adani Carmichael coal mine. Internationally we won’t invest in any bank which lends to a Keystone XL pipeline transporting oil from the tar sands of Canada.",1
"Major Risk Scenario It is the responsibility of companies with substantial emissions of greenhouse gases to take measures to reduce them, and if these measures are delayed, it may erode the confidence of the public in the Group, increase environmental costs, such as CO2 credits, and have an impact on financial performance.",1
"What are the latest sustainability issues in your industry, and what roles do you expect LG Chem to play? The tire industry has been dealing with and responding to issues like sustainable natural rubber and microplastics in the last few years. The sustainability issue of the natural rubber supply chain is associated with human rights, environmental protection, transparent management, productivity, quality, and quality of life. Hankook Tire & Technology is resolving this issue by operating a global platform called the Global Platform for Sustainable Natural Rubber GPSNR for the supply chain and automotive industry. Our company conducts research on microplastics for tire wear particles. Hankook Tire & Technology is not only required to manage the sustainable supply chain for natural rubber. The sustainable supply chain also applies to the raw materials supplied by LG Chem. As LG Chem is a major supplier of our company, the sustainability efforts of LG Chem will have a positive effect on our responsible sourcing policy and products. We look forward to seeing a true collaboration on sustainability among companies or among industries.",1
"For several years we have worked to reduce the environmental impact of our operations, including GHG emissions, and we continue to make investments to make our operations, networks, and infrastructure more resilient. All of these activities not only help manage our risks, but also provide new opportunities to reduce operating costs, take advantage of cost-competitive renewable energy, and create potential competitive advantages from resilient operations.",1
"69 Munich Re: Press release 4 January 2018. also significantly exceeded the previous year’s figure of US$ 51 billion and the 10-year average of US$ 49 billion. Over two-thirds of all insured losses were accounted for by hurricanes Harvey, Irma and Maria with US$ 92 billion. Further significant losses were caused by forest fires in California and earthquakes in Mexico, which also occurred in the second half of the year.",1
"(3) In addition to confirmation of compliance, we confirm the status of continuous improvements and corrections being made towards the achievement of the environmental targets. When necessary, we require audited sites to review plans.",1
"The diagnosis of organizational culture represents the internal scenario and it is one of the elements considered/ analyzed in the definition of the drivers. Since 2017, after reviewing the research strategy by our organizational behavior area, only the Organizational Climate and Engagement Survey was applied annually, as presented in the table below.",1
"Our aim in 2021 is to be able to report the weighted average carbon intensity of our corporate bonds portfolio. Furthermore, in order to improve monitoring, management and future reporting in this area, we are working towards an improved picture of the emissions intensity of other significant portions of our investment portfolio, where appropriate data and methodologies exist.",1
"Logistics remains focused on driving freight to the ocean to reduce cost, our carbon footprint and the risk of temperature deviation. Many new distribution pathways were validated that provide greater opportunity to utilise ocean freight, especially into the emerging Middle Eastern markets.",1
"The utilities industry is changing with an increased focus on decarbonization, digitalization, decentralization, and evolving customer demand. Continuing climate change concerns, evolving regulations to encourage the advancement of new technologies, emission reduction targets, and government incentives present opportunities for utility companies. Our natural gas and electric utilities are well positioned to capitalize on these trends. Our strategic priorities remain focused on investments that provide lower emissions and cleaner energy solutions for our customers, while continuing to invest in our core business.",1
"Although we have devoted significant resources to develop our risk management policies, procedures and methods, including with respect to market, credit, liquidity and operational risk, they may not be fully effective in mitigating our risk exposures in all economic market environments or against all types of risk, including risk that we fail to identify or anticipate.",0
"Managing weather impacts Tropical cyclones (hurricanes and typhoons) present a risk to our coastal and inland infrastructure, includ- ing our network and facilities. These events may increase our capital and operating costs to maintain and/or repair our facilities following the event. Every year we make significant investments in real estate and net- work maintenance and upgrades to build resilience into our operational infrastructure. Based on the lessons learned during storms such as Superstorm Sandy, Hurricane Matthew, and Hurricane Michael, we have taken steps to increase the resilience of our network in affected areas and other at-risk areas. Depending on the area and risk, these steps to enhance infrastructure resilience have included adding stilts to raise equipment that powers cell sites, moving site generators from basements to a higher level or platforms, and installing new fiber solutions underground rather than using aerial fiber. We also have ongoing efforts to improve backup facility power systems, including power capacity at facilities located in areas with greater storm and wildfire risk, by adding generators to at-risk sites where, historically, the site only had backup batteries. Federal, state, and local regulators may create requirements that change the type and timing of actions we take, which could result in higher operating costs than anticipated.",1
● Developed nations are expanding the application of the global water management system. Losses from limitation of export may occur due to trade barriers and various regulations related to water footprint regulations.,1
"Our corporate management is responsible for setting our strategic goals, including targets for reducing our CO2 emissions, and for monitoring our progress toward them. The Product Steering Board (PSB) monitors the development of the car fleet’s CO2 emissions in markets where such emissions are regulated. It is also responsible for providing forecasts. In its evaluations, the PSB takes into account the increasing degree of vehicle electrification and the changes that have been made to legal requirements, for example those related to the introduction of the new WLTP test procedure. The Board of Ma- nagement then decides which measures need to be implemented. On the market side of the equation, price and volume control mea- sures can also affect our ability to achieve our targets in the short term. For this reason, these measures are also discussed with the Board of Management within the framework of the regular reporting on the current state of CO2 fleet compliance.",1
"“Exchange Act”). The members of that audit committee are Prof. Dr. Clemens Börsig (chairman), Dr. Nance K. Dicciani, Dr. Thomas Enders, Edward G. Galante, Larry D. McVay and Dr. Victoria Ossadnik, and each member is independent within the meaning of the independence standards adopted by the Board of Directors and those of the New York Stock Exchange.",0
"In addition, climate-related risks and opportunities are integrated into the Group-wide risk management process at Daimler. Via the segments, information for reporting to the Board of Management and Supervisory Board is passed on to Group Risk Management.",1
"We targeted a £500 million annual investment in low-carbon infrastructure from 2015-2020, and an associated carbon saving target of 100,000 CO2 tonnes annually. In 2016 we signed £450 million of new investment into wind, solar, biomass and energy efficiency, and our Infrastructure Income Fund will deliver over 150,000 tonnes of CO2e savings annually when the projects are operational. Aviva holds over £247 million in green bonds.",1
"Our Board oversees the management of strategic and operational risks by using several different levels of review. Each of our Board’s four standing committees oversees the management of specific risks and opportunities, including climate-related risks and opportunities, that fall within that com- mittee’s areas of responsibility. The committee chairs provide regular updates to our full Board on the activities of their committees. In addition, our Board reviews the risks associated with Verizon’s strategic plan throughout the year.",1
"Inherent risk profile The inherent risk profile identifies Nedbank’s inherent risk before controls are implemented for the effective management of climate-related risks. The inherent risk profile is determined based on the following categories: • GHG emission industries – Various industries pose a higher inherent risk depending on the nature of the specific GHG emissions. Inherent risk increases as the GHG emissions increase. • External threats – These include changing weather patterns, client behaviour and preferences, new technology and innovation, legislation, and risks. Nedbank may be exposed to due to activities of lending, investing, and the group’s own operations.",1
"In addition to third-party funds, Kempen Asset Management also manages our private banking discretionary management mandates and Evi Beleggen products, amounting to total assets under management of €10.9 billion at the end of 2017 (this amount of €10.9 billion is not included in Asset Management’s total AuM of €45.5 billion).",0
"THE ISSUE Investors, in our view, have been too slow to recognize and address the substantial systemic threat that deforestation poses to the climate, local communities, biodiversity and human rights. Many consumer goods companies purchase commodities, like palm oil and soy, through supply chains that originate in rainforests in places like Indonesia and Guatemala. Deforestation is a principal driver of climate change, responsible for roughly 15 percent of global greenhouse gas emissions. Extensive—and oftentimes illegal—deforestation can have devastating impacts on biodiversity and on local and indigenous communities that depend on forests for their livelihoods. Deforestation has also been linked to severe human rights violations and, in recent years, environmental campaigners and protesters have been arrested and killed in record numbers.",1
"The performance of the units, used to measure the amount to be paid as variable compensation, is measured by a corporate tool called the Work Agreement (Acordo de Trabalho - ATB). This evaluation model, based on the goals proposed at the Corporate Strategy, allows for a balance between short and long-term visions. The ATB indicators relate to several topics, including commercial and financial performance, customer satisfaction and experience, operational efficiency, risk management, human management, and corporate socioenvironmental (E&S) responsibility. |102-28| |102-35|103-3|Sustainability Culture|",1
"Over the past several years, changing weather patterns and climatic conditions, including as a result of global warming, have added to the unpredictability, frequency and severity of natural disasters and created additional uncertainty as to future trends and exposures. In particular, the consequences of climate change are expected to significantly impact the insurance industry, including with respect to risk perception, pricing and modelling assumptions, and need for new insurance products, all of which may create unforeseen risks not currently known to us.",1
"The degree to which these and other changes resulting from the financial crisis will have a long-term impact on the profitability of financial institutions will depend on the implementation of recently adopted and new regulations, the manner in which markets, market participants and financial institutions adapt to these regulations, and the prevailing economic and financial market conditions. However, there is a significant risk that such changes will, at least in the near term, continue to negatively impact the absolute level of revenues, profitability and return on equity at our firm and at other financial institutions.",0
"KEY PRIORITIES FOR 2021 • Attain top market share in our Canadian franchise. • Grow our U.S. dollar business in sectors where we are competitively positioned, adding new clients and deepening our relationship value by maturing our product and advice offerings. • Leverage our North American franchise and global capabilities to grow our Europe and Asia-Pacific businesses. • Increase wallet share with sponsor, institutional, prime services and government clients globally. • Continue to develop ESG expertise and become a leader in the space as we support clients on their transition to a low-carbon economy. • Drive innovation and build data and analytical capabilities to improve end-to-end process efficiency and enhance client value. • Continue to lower our cost structure to reflect reduced margins and volumes in parts of our business and create capacity for additional investments. • Maintain our focus on managing risk, capital, balance sheet, and liquidity. • Continue to be an extraordinary place to work with a focus on inclusion and diversity.",1
In recent years we have started to embed sustainability explicitly throughout the business by developing an overarching framework to communicate our objectives clearly via our established five pillar sustainability strategy. The strategy outlines our goals and commitments across a range of sustainability issues that are integral to our business and important to our stakeholders.,1
"If we are unable to find economically viable, as well as publicly acceptable, solutions that reduce our GHG emissions and/or GHG intensity for new and existing projects or products, we could experience additional costs or financial penalties, delayed or cancelled projects, and/or reduced production and reduced demand for hydrocarbons, which could have a material adverse effect on our earnings, cash flows and financial condition.",1
"We recorded adjusted net income of R$ 13.9 billion, a 22.2% decrease compared to the previous year, mainly impacted by the prudential anticipation of provisions for loans, which reached R$ 8.1 billion. Such provisions strengthen our balance sheet and allow us to safely absorb any future impacts of pandemic.",0
"Category A: projects that require preparation of an Environmental Impact Study (EIA) and with potential for significant adverse socioenvironmental risks or impacts that are multiple, irreversible or unprecedented, with emphasis on those related to at least one of the following topics: indigenous peoples, critical habitats, cultural heritage or large- scale resettlement.",1
BB’s Commitment to Climate Change describes our initiatives to reduce carbon emissions. which are registered in the Harvest Monitoring Panel system and allow observing the recurrence of extreme events and changes in the local climate pattern.,1
"The net result of discontinued operations presented in the consolidated income statement for the year ending December 31, 2020 mainly relates to a fair value adjustment of the earn-out component as well as actual earn-out received related to the sale of the TaylorMade business. The increase in fair value is attributable to adjusted future EBITDA-value estimates. In 2020, adidas received a cash consideration of US $ 50 million. The fair value of the earn-out component at December 31, 2020 amounts to US $ 15 million (2019: US $ 50 million).",0
"The progress toward all Green Company targets is tracked through an environmental data reporting system and is disclosed in detail in our annual Green Company Report, available on our corporate website as of spring 2021. ¬ ► ADIDAS-GROUP.COM/S/ENVIRONMENTAL-APPROACH Own operations: Progress toward 2020 targets",1
"Over the year we undertook actions to improve the governance framework and practices, among which the revision of the BB Report on the Corporate Governance Code stands out; the revision of the General Policies of Institutional Scope, Marketing Guidelines, Operational Guidelines and Human Management, and the Specific Related-Party Transaction Policy; and amendments to the Bylaws, among which we highlight: • the provision that the management of third- party asset may also be carried out directly by the Bank; • the increase in capital driven by the premium bonds of part of the Bank’s Operating Margin Reserve and the merger of Bescval, through the transfer of shareholders’ equity into Banco do Brasil; • the possibility of taking out additional coverage for D&O insurance and including the provision for entering into an Indemnity Agreement; • the adequacy of composition of effective members of the Human, Remuneration and Eligibility Committee and the Technology, Strategy and Innovation Committee; • the inclusion of the provision that acting Officers requesting retirement under the Pension Plan of Banco do Brasil’s Employees (Previ) are entitled to be elected as Executive Officer ; and • Evidencing the procedures to be adopted when conflicts of interest are identified at meetings of the Board of Directors, Board of Officers (CD), Executive officers Board and Supervisory Board.",0
"TD recently launched a bold and ambitious climate action plan to address the challenges of climate change. This includes a target to achieve net-zero greenhouse gas emissions in our operations and financing activities by 2050. We backed this commitment with the creation of a new Sustainable Finance and Corporate Transitions Group to support clients around the world, and an Environmental, Social and Governance (ESG) Centre of Expertise to participate in the global efforts required to deliver on this long-term target.",1
"In October 2020, we approved our sustainable finance model, which provides for parameters and management for raising funds for projects classified as sustainable in the global market. This type of funding can be used to finance projects able to offer financial, environmental, social and governance (ESG) benefits.",1
"We are a purpose-led organisation that considers our long-term sustainability as contingent on the success of the societies in which we operate. We will play a leading role in addressing climate change in ways that are sensitive to the local context, including climate vulnerability, development imperatives and structural economic challenges.",1
"Other disruptions in the manufacturing process or product sales and fulfillment systems for any reason, including equipment malfunction, failure to follow specific protocols and procedures, defective raw materials, natural disasters such as hurricanes, tornadoes or wildfires, and other environmental factors, could lead to launch delays, product shortage, unanticipated costs, lost revenues and damage to our reputation. For example, in June 2017 we experienced a global information technology systems interruption that affected our customer ordering, distribution, and manufacturing processes. Furthermore, any failure to identify and address manufacturing problems prior to the release of products to our customers could result in quality or safety issues.",1
"– we rank among the world’s leading offshore wind companies – is an expression of this conviction. We intend to continue growing in onshore and offshore wind and do so through partnerships where appropriate. We plan to invest between €1.5 billion and €1.7 billion in the Renewables division from 2017 to 2019. All capital expenditures must satisfy clearly defined requirements in terms of profitability. Among our largest wind energy operations are the Nordsee One and Galloper projects, which are scheduled for commissioning at the end of",1
"Seqirus has continued to support the Partnership for Influenza Vaccine Introduction (PIVI), a key program of the Task Force for Global Health, a not-for-profit, independent, nongovernmental organisation based in the US. An innovative public/private program, PIVI works in partnership with the Centers for Disease Control and Prevention (CDC), Ministries of Health, corporate partners and others to create sustainable, routine, seasonal influenza vaccination programs in low and middle-income countries. In the past year, our financial support to PIVI has focused on the establishment of a global coalition to explore the value of a coordinated stakeholders plan for epidemic and pandemic influenza preparedness.",0
"Managing social and environmental risk in our lending practices The year 2020 has been a year of extremes and has emphasised the importance of identifying, managing and reporting on social and environmental risk. Nedbank revised its Social and Environmental Risk Framework to expand on the social imperatives within our operations and that of the clients that we finance.",1
"Traffic infrastructures (roads, airports and railways) and the traffic connected with them are the main sources of environmental noise and noise impact in urban areas. This is why noise protection is a high-priority issue for the Group, whose efforts begin from the planning and design stages of the new works, with the development of innovative solutions, tools and methods to guarantee optimal environmental conditions for citizens.",1
